Attaching 1 probe...
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=318775296 address=0x7bb3e6202080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=328249344 address=0x7bb3e6b0b080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=353513472 address=0x7bb3e8323080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=378777600 address=0x7bb3e9b3b080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=403980288 address=0x7bb3eb344080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=419770368 address=0x7bb3ec253080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=429244416 address=0x7bb3ecb5c080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=454508544 address=0x7bb3ee374080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=479772672 address=0x7bb3efb8c080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=504975360 address=0x7bb3f1395080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=520765440 address=0x7bb3f22a4080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=530239488 address=0x7bb3f2bad080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=555503616 address=0x7bb3f43c5080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=580767744 address=0x7bb3f5bdd080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=605970432 address=0x7bb3f73e6080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=621760512 address=0x7bb3f82f5080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=631234560 address=0x7bb3f8bfe080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=656498688 address=0x7bb3fa416080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=681762816 address=0x7bb3fbc2e080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=706965504 address=0x7bb3fd437080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=722755584 address=0x7bb3fe346080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=732229632 address=0x7bb3fec4f080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=757493760 address=0x7bb400467080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=782757888 address=0x7bb401c7f080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=807960576 address=0x7bb403488080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=823750656 address=0x7bb404397080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=833224704 address=0x7bb404ca0080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=858488832 address=0x7bb4064b8080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=883752960 address=0x7bb407cd0080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=908955648 address=0x7bb4094d9080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=924745728 address=0x7bb40a3e8080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=934219776 address=0x7bb40acf1080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=959483904 address=0x7bb40c509080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=984748032 address=0x7bb40dd21080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1009950720 address=0x7bb40f52a080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1025740800 address=0x7bb410439080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1035214848 address=0x7bb410d42080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1060478976 address=0x7bb41255a080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1085743104 address=0x7bb413d72080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1110945792 address=0x7bb41557b080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1126735872 address=0x7bb41648a080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1136209920 address=0x7bb416d93080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1161474048 address=0x7bb4185ab080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1186738176 address=0x7bb419dc3080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1211940864 address=0x7bb41b5cc080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1227730944 address=0x7bb41c4db080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1237204992 address=0x7bb41cde4080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1262469120 address=0x7bb41e5fc080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1287733248 address=0x7bb41fe14080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1312935936 address=0x7bb42161d080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1328726016 address=0x7bb42252c080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1338200064 address=0x7bb422e35080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1363464192 address=0x7bb42464d080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1388728320 address=0x7bb425e65080
op[39:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1413931008 address=0x7bb42766e080
op[16:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1429721088 address=0x7bb42857d080
op[25:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1439195136 address=0x7bb428e86080
op[28:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1464459264 address=0x7bb42a69e080
op[30:0] Fully Connected (NC, QDU8, F32, QC8W) offset=1489723392 address=0x7bb42beb6080
